sciName,comName,locName,obsReviewed,obsValid,obsDt,lat,howMany,subId,locationPrivate,lng,speciesCode,locId
Calidris mauri,Western Sandpiper,Batiquitos Lagoon--Navigator Circle,False,True,2024-02-12 16:35,33.0896202,10,S161365297,False,-117.3067053,wessan,L5403306
Calidris mauri,Western Sandpiper,Ocean Shores STP,False,True,2024-02-12 13:11,46.931967,1,S161360236,False,-124.1580575,wessan,L43806903
Calidris mauri,Western Sandpiper,El Salar,False,True,2024-02-12 15:22,31.7499641,7,S161370823,True,-115.0613789,wessan,L29186943
Calidris mauri,Western Sandpiper,Playa de Golfo de Santa Clara,False,True,2024-02-12 08:17,31.6808025,500,S161322067,False,-114.4950485,wessan,L3480257
Calidris mauri,Western Sandpiper,Shorebird Park - Beach Park Blvd.,False,True,2024-02-13 17:22,37.5532808,70,S161453266,False,-122.2469759,wessan,L5141312
Calidris mauri,Western Sandpiper,Tsawwassen Ferry Terminal Jetty,True,True,2024-02-13 08:18,49.0157109,1,S161408199,False,-123.117063,wessan,L282714
Calidris mauri,Western Sandpiper,La Pocita-La Isla,False,True,2024-02-13 08:22,28.009144,1,S161456412,True,-114.090215,wessan,L29248310
Calidris mauri,Western Sandpiper,Playa de Golfo de Santa Clara,False,True,2024-02-13 08:34,31.6808025,600,S161407005,False,-114.4950485,wessan,L3480257
Calidris mauri,Western Sandpiper,Vidanta Nuevo Vallarta Resort,False,True,2024-02-13 10:40,20.6808514,1,S161419455,False,-105.286113,wessan,L5188647
Calidris mauri,Western Sandpiper,Estero Paramán,False,True,2024-02-13 11:15,19.7287194,16,S161483073,False,-105.2733994,wessan,L812800
Calidris mauri,Western Sandpiper,"Jetty Rd, Moss Landing US-CA 36.81254, -121.78969",False,True,2024-02-14 17:22,36.812543,10,S161526816,True,-121.789694,wessan,L29261023
Calidris mauri,Western Sandpiper,Bayocean Spit--bay (east) side,False,True,2024-02-14 12:30,45.5217439,9,S161508150,False,-123.9484406,wessan,L285627
Calidris mauri,Western Sandpiper,Billy Frank Jr. Nisqually NWR,True,True,2024-02-14 07:37,47.0812514,6,S161533069,False,-122.7180576,wessan,L282253
