subId,lat,locationPrivate,locName,obsDt,sciName,howMany,locId,obsValid,speciesCode,obsReviewed,lng,comName
S19597425,49.0730526,False,Delta—Boundary Bay - 96th to 104th Sts.,2014-08-20 18:14,Calidris mauri,18,L340159,True,wessan,False,-122.9484991,Western Sandpiper
S19881266,38.6543655,False,Farmers Central Rd.--pond at CR102,2014-08-21 19:02,Calidris mauri,40,L892337,True,wessan,False,-121.7281455,Western Sandpiper
S19537912,44.3352,True,Redmond Sewage Ponds,2014-08-21 19:10,Calidris mauri,12,L3049025,True,wessan,False,-121.21927,Western Sandpiper
S19537873,45.7990694,False,Ridgefield NWR--River 'S' Unit,2014-08-21 18:00,Calidris mauri,2,L592967,True,wessan,False,-122.7490082,Western Sandpiper
S19585204,60.3859137,False,Kasilof--Kasilof River Mouth,2014-08-21 12:40,Calidris mauri,80,L1067145,True,wessan,False,-151.302166,Western Sandpiper
S19540220,49.1612211,True,"Tofino, Stubbs Island",2014-08-21 16:40,Calidris mauri,15,L598908,True,wessan,False,-125.9278679,Western Sandpiper
S19533610,21.6070037,False,Granja de Camarón Chacalilla,2014-08-21 07:15,Calidris mauri,3,L592109,True,wessan,False,-105.2806091,Western Sandpiper
S19546565,41.832863,False,Lake Tolowa,2014-08-22 18:15,Calidris mauri,600,L485952,True,wessan,False,-124.2165756,Western Sandpiper
S19545616,42.4099597,False,Agate Lake,2014-08-22 17:45,Calidris mauri,100,L389855,True,wessan,False,-122.7708006,Western Sandpiper
S19545980,47.2233758,False,Fife--Saddle Creek remnant oxbow,2014-08-22 18:51,Calidris mauri,2,L2262431,True,wessan,False,-122.3464489,Western Sandpiper
S19546624,57.17012,False,St. Paul Island,2014-08-22 14:30,Calidris mauri,4,L261146,True,wessan,False,-170.296751,Western Sandpiper
S19546260,49.2032427,False,Richmond Island Slough,2014-08-22 19:30,Calidris mauri,141,L1141986,True,wessan,False,-123.1444645,Western Sandpiper
S19609554,34.2316739,False,Santa Clara River Estuary,2014-08-23 18:21,Calidris mauri,94,L297806,True,wessan,False,-119.2627716,Western Sandpiper
S19555579,45.5064875,False,Fernhill Wetlands (general),2014-08-23 18:40,Calidris mauri,2,L163529,True,wessan,False,-123.0851855,Western Sandpiper
S19566410,48.4705732,False,Padilla Bay Shore Trail,2014-08-23 18:00,Calidris mauri,365,L886438,True,wessan,False,-122.4701625,Western Sandpiper
S19555831,57.17012,False,St. Paul Island,2014-08-23 18:00,Calidris mauri,24,L261146,True,wessan,False,-170.296751,Western Sandpiper
S19554495,49.305843,False,North Vancouver--Maplewood Flats Conservation Area,2014-08-23 17:24,Calidris mauri,15,L164543,True,wessan,False,-123.00034,Western Sandpiper
S19608608,27.9618001,False,Estero El Soldado,2014-08-23 07:21,Calidris mauri,,L389236,True,wessan,False,-110.9743166,Western Sandpiper
